GP ACCOUNT,NS ACCOUNT
2-80-81-146-100,146100
2-80-81-146-103,146101
2-80-81-148-107,148107
2-80-81-148-109,148109
2-80-81-151-100,151101
2-80-81-152-100,152100
2-80-81-153-100,153100
2-80-81-154-100,154100
2-80-81-162-100,*** NO MAPPED
2-80-81-163-100,*** NO MAPPED
2-80-81-201-100,201100
2-80-81-201-101,201101
2-80-81-205-100,205100
2-80-81-206-100,206100
2-80-81-206-103,206100
2-80-81-209-111,209100
2-80-81-209-122,209100
2-80-81-209-171,209101
2-80-81-209-180,209101
2-80-81-209-185,209101
2-80-81-209-191,209100
2-80-81-209-195,209100
2-80-81-211-171,211100
2-80-81-212-100,212100
2-80-81-212-101,212101
2-80-81-213-100,213100
2-80-81-221-100,221100
2-80-81-242-100,243100
2-80-81-243-100,243200
2-80-81-250-100,201100
2-80-81-340-181,340181
2-80-81-410-100,410000
2-80-81-415-100,415100
2-80-81-422-100,422000
2-80-81-460-100,460100
2-80-81-620-100,620100
2-80-81-620-101,620101
2-80-81-621-100,621102
2-80-81-622-100,622100
2-80-81-810-100,810000
2-80-81-890-100,890000
2-80-81-901-100,901100
2-80-81-902-100,465100
2-80-81-910-100,910100
2-80-81-911-100,900200
2-80-81-921-100,921100
2-80-81-921-101,921101
2-80-81-922-100,922100
2-80-81-923-100,923100
2-80-81-924-100,924100
2-80-81-960-100,900900
2-90-90-101-100,101106
2-90-90-115-100,115000
2-90-90-128-100,128000
2-90-90-129-171,129101
2-90-90-129-181,129101
2-90-90-140-100,140100
2-90-90-141-100,141100
2-90-90-143-100,143111
2-90-90-143-101,143101
2-90-90-143-102,143102
2-90-90-143-103,143103
2-90-90-143-104,143104
2-90-90-144-108,144101
2-90-90-144-109,144102
2-90-90-146-100,146100
2-90-90-146-101,146101
2-90-90-146-102,146101
2-90-90-146-103,146103
2-90-90-147-101,147101
2-90-90-148-109,148109
2-90-90-163-100,*** NO MAPPED
2-90-90-201-100,201100
2-90-90-209-180,209101
2-90-90-212-100,212100
2-90-90-213-100,213100
2-90-90-243-100,243200
2-90-90-250-100,201100
2-90-90-340-190,340190
2-90-90-410-100,410000
2-90-90-621-100,621102
2-90-90-622-100,622100
2-90-90-823-100,823000
2-90-90-890-100,890000
2-90-90-901-100,901100
2-90-90-902-100,465100
2-90-90-902-101,902101
2-90-90-911-100,900200
2-90-90-960-100,900900
2-90-91-128-100,128000
2-90-91-141-100,141100
2-90-91-141-105,141105
2-90-91-143-100,143111
2-90-91-143-104,143104
2-90-91-143-105,143112
2-90-91-144-108,144101
2-90-91-162-100,*** NO MAPPED
2-90-91-163-100,*** NO MAPPED
2-90-91-201-100,201100
2-90-91-206-100,206100
2-90-91-209-171,209100
2-90-91-209-180,209101
2-90-91-209-195,209100
2-90-91-211-171,211100
2-90-91-212-100,212100
