GP ACCOUNT,NS ACCOUNT
3-10-19-817-100,817000
3-10-19-821-101,821101
3-10-19-823-100,823000
3-10-19-825-100,825000
3-10-19-825-200,825000
3-10-19-830-100,830000
3-10-19-830-200,830000
3-10-19-831-100,831000
3-10-19-831-200,831000
3-10-19-833-100,833000
3-10-19-833-112,833000
3-10-19-833-116,833000
3-10-19-833-200,833000
3-10-19-833-212,833000
3-10-19-842-100,842000
3-10-19-845-100,845000
3-10-19-845-200,845000
3-10-19-866-100,868000
3-10-19-866-200,868000
3-10-19-867-100,869000
3-10-19-867-200,869000
3-10-19-870-100,870000
3-10-19-871-100,871100
3-10-19-871-112,871100
3-10-19-871-116,871100
3-10-19-871-200,871100
3-10-19-871-212,871100
3-10-19-872-100,872100
3-10-19-872-112,872100
3-10-19-872-116,872100
3-10-19-872-200,872100
3-10-19-872-212,*** NO MAPPED
3-10-19-872-216,*** NO MAPPED
3-10-19-873-100,873100
3-10-19-873-112,873100
3-10-19-873-116,873100
3-10-19-873-200,873100
3-10-19-873-212,*** NO MAPPED
3-10-19-874-100,874100
3-10-25-815-100,815100
3-10-25-817-100,817000
3-10-25-821-101,821101
3-10-25-825-100,825000
3-10-25-831-100,831000
3-10-25-833-100,833000
3-10-25-833-112,833000
3-10-25-833-116,833000
3-10-25-842-100,842000
3-10-25-845-100,845000
3-10-25-866-100,868000
3-10-25-867-100,869000
3-10-25-871-112,871100
3-10-25-871-116,872100
3-10-25-872-112,872100
3-10-25-872-116,872100
3-10-25-873-112,873100
3-10-25-873-116,873100
3-20-20-101-100,101101
3-20-20-131-100,131105
3-20-20-201-100,201100
3-20-20-250-100,201100
3-20-20-410-100,410000
3-20-20-815-100,815100
3-20-20-823-100,823000
3-20-20-833-100,833000
3-20-20-865-101,867000
3-20-20-871-100,871100
3-20-20-871-114,871100
3-20-20-872-100,872100
3-20-20-872-114,872100
3-20-20-873-100,873100
3-20-20-873-114,873100
3-20-21-101-100,101101
3-20-21-101-103,101100
3-20-21-111-103,116000
3-20-21-115-100,115000
3-20-21-116-100,116000
3-20-21-121-100,121000
3-20-21-128-100,128000
3-20-21-128-103,128103
3-20-21-129-100,129101
3-20-21-129-111,129101
3-20-21-129-121,129101
3-20-21-129-122,129101
3-20-21-129-123,129101
3-20-21-129-124,129101
3-20-21-129-131,129101
3-20-21-129-165,129101
3-20-21-129-171,129101
3-20-21-131-100,131105
3-20-21-131-112,131105
3-20-21-131-114,131105
3-20-21-131-116,131105
3-20-21-140-100,140100
3-20-21-140-101,140101
3-20-21-140-106,140106
3-20-21-140-107,140107
3-20-21-141-100,141100
3-20-21-141-101,141101
3-20-21-141-102,141102
3-20-21-141-103,141103
3-20-21-141-108,141108
3-20-21-141-109,141109
3-20-21-142-109,142109
3-20-21-143-100,143100
3-20-21-143-101,143101
3-20-21-143-102,143102
3-20-21-143-103,143103
3-20-21-143-104,143104
3-20-21-143-105,143105
3-20-21-143-106,143106
3-20-21-143-107,143107
3-20-21-143-108,143108
3-20-21-143-109,143109
3-20-21-143-110,143110
3-20-21-144-101,144101
3-20-21-144-102,144102
3-20-21-144-108,144101
3-20-21-144-109,144102
3-20-21-145-100,145100
3-20-21-146-100,146100
3-20-21-146-102,146101
3-20-21-146-103,146101
3-20-21-146-104,146103
3-20-21-147-100,147100
3-20-21-148-107,148107
3-20-21-148-108,148108
3-20-21-148-109,148109
3-20-21-151-100,151100
3-20-21-152-100,152101
3-20-21-153-100,153101
3-20-21-154-100,154101
3-20-21-155-100,155100
3-20-21-161-100,161100
3-20-21-162-100,161100
3-20-21-163-100,*** NO MAPPED
3-20-21-201-100,201100
3-20-21-201-101,201101
3-20-21-201-103,201103
3-20-21-202-100,202100
3-20-21-202-103,201103
3-20-21-202-110,202110
3-20-21-202-113,202113
3-20-21-202-120,202120
3-20-21-202-123,202123
3-20-21-202-140,202140
3-20-21-202-143,202143
3-20-21-202-153,202153
3-20-21-202-163,202163
3-20-21-202-173,202173
3-20-21-202-183,202183
3-20-21-203-100,203100
3-20-21-205-100,205100
3-20-21-206-100,206100
3-20-21-206-103,206100
3-20-21-209-100,209100
3-20-21-209-111,209102
3-20-21-209-121,209102
3-20-21-209-122,209102
3-20-21-209-124,209102
3-20-21-209-131,209100
3-20-21-209-171,209100
3-20-21-209-181,209100
3-20-21-209-185,209100
3-20-21-211-100,211100
3-20-21-211-103,211103
3-20-21-212-100,212100
3-20-21-212-101,212100
3-20-21-213-100,213100
3-20-21-221-100,221100
3-20-21-232-100,232100
3-20-21-232-103,232100
3-20-21-242-100,243100
3-20-21-243-100,243200
3-20-21-250-100,201100
3-20-21-299-101,*** NO MAPPED
3-20-21-340-121,340121
3-20-21-410-100,410000
3-20-21-410-101,410000
3-20-21-410-102,410102
3-20-21-410-103,410000
3-20-21-415-100,415100
3-20-21-416-100,416000
3-20-21-421-100,421100
3-20-21-460-100,460100
3-20-21-460-121,460100
3-20-21-470-117,440100
3-20-21-611-101,611101
3-20-21-620-100,620100
3-20-21-620-101,620101
3-20-21-620-102,620102
3-20-21-620-103,620103
3-20-21-620-104,620104
3-20-21-620-105,620100
3-20-21-620-106,620100
3-20-21-621-100,610100
3-20-21-623-100,620100
3-20-21-623-103,620103
3-20-21-623-105,623000
3-20-21-630-100,630100
3-20-21-640-100,815103
3-20-21-690-100,690100
3-20-21-690-103,690100
3-20-21-750-100,750100
3-20-21-753-100,753100
3-20-21-754-111,754000
3-20-21-755-100,755100
3-20-21-756-100,756100
3-20-21-757-100,757100
3-20-21-770-100,770100
3-20-21-810-100,810000
3-20-21-811-100,811100
3-20-21-811-103,811100
3-20-21-811-110,811100
3-20-21-813-100,813000
3-20-21-814-100,814100
3-20-21-815-100,815100
3-20-21-815-103,815103
3-20-21-815-104,815104
3-20-21-816-100,815100
3-20-21-816-103,815103
3-20-21-817-100,817000
3-20-21-820-100,820000
3-20-21-820-101,820101
3-20-21-821-100,821100
3-20-21-821-101,821101
3-20-21-822-100,822000
3-20-21-823-100,823000
3-20-21-823-104,823000
3-20-21-825-100,825000
3-20-21-830-100,830000
3-20-21-831-100,831000
3-20-21-832-100,832000
3-20-21-832-112,832000
3-20-21-833-100,833000
3-20-21-833-112,833000
3-20-21-833-116,833000
3-20-21-840-100,840000
3-20-21-841-100,841000
3-20-21-842-100,842000
3-20-21-844-100,844000
3-20-21-845-100,845000
3-20-21-860-100,860000
3-20-21-862-100,863000
3-20-21-863-100,865000
3-20-21-864-100,865000
3-20-21-865-100,866000
3-20-21-865-101,867000
3-20-21-866-100,868000
3-20-21-867-100,869000
3-20-21-870-100,870000
3-20-21-870-112,870000
3-20-21-871-100,871100
3-20-21-871-112,871100
3-20-21-871-114,871100
3-20-21-871-116,871100
3-20-21-872-100,872100
3-20-21-872-112,872100
3-20-21-872-114,872100
3-20-21-872-116,872100
3-20-21-873-100,873100
3-20-21-873-112,873100
3-20-21-873-114,873100
3-20-21-873-116,873100
3-20-21-874-100,874100
3-20-21-874-114,874100
3-20-21-890-100,890000
3-20-21-891-100,891100
3-20-21-892-100,*** NO MAPPED
3-20-21-893-100,891300
3-20-21-895-100,891100
3-20-21-901-100,901100
3-20-21-902-100,465100
3-20-21-903-100,903100
3-20-21-910-100,900200
3-20-21-911-100,900200
3-20-21-921-101,900500
3-20-21-922-100,922100
3-20-21-923-100,923100
3-20-21-990-100,990100
3-20-24-816-100,815100
3-22-22-101-100,101102
3-22-22-115-100,115000
3-22-22-116-100,116000
3-22-22-128-100,128000
3-22-22-129-100,129101
3-22-22-129-111,129101
3-22-22-129-121,129101
3-22-22-129-165,129101
3-22-22-129-171,129101
3-22-22-129-181,129101
3-22-22-131-100,131105
3-22-22-149-100,149100
3-22-22-162-100,*** NO MAPPED
3-22-22-163-100,*** NO MAPPED
3-22-22-201-100,201100
3-22-22-205-100,205100
3-22-22-209-111,209102
3-22-22-209-121,209100
3-22-22-209-122,209100
3-22-22-209-171,209100
3-22-22-209-181,209100
3-22-22-211-100,211100
3-22-22-211-103,211103
3-22-22-212-100,212100
3-22-22-213-100,213100
3-22-22-221-100,221100
3-22-22-243-100,243200
3-22-22-250-100,201100
3-22-22-340-122,*** NO MAPPED
3-22-22-410-100,410000
3-22-22-410-101,410101
3-22-22-410-105,410105
3-22-22-460-100,460100
3-22-22-460-122,460100
3-22-22-610-100,610100
3-22-22-610-101,610101
3-22-22-610-103,610100
3-22-22-611-100,611100
3-22-22-611-101,611101
3-22-22-611-102,611100
3-22-22-611-103,611100
3-22-22-621-100,610100
3-22-22-640-100,815103
3-22-22-640-101,815103
3-22-22-811-100,811100
3-22-22-811-110,811100
3-22-22-814-100,814100
3-22-22-815-100,815100
3-22-22-815-103,815103
3-22-22-816-100,815100
3-22-22-822-100,822000
3-22-22-823-100,823000
3-22-22-831-100,831000
3-22-22-833-100,833000
3-22-22-842-100,842000
3-22-22-844-100,844000
3-22-22-845-100,845000
3-22-22-864-100,865000
3-22-22-865-100,866000
3-22-22-866-100,868000
3-22-22-890-100,890000
3-22-22-891-100,891100
3-22-22-892-100,*** NO MAPPED
3-22-22-892-101,*** NO MAPPED
3-22-22-893-100,891300
3-22-22-895-100,891100
3-22-22-901-100,901100
3-22-22-902-100,465100
3-22-22-902-100,465100
3-22-22-910-100,900200
3-22-22-911-100,900200
3-22-22-960-100,900900
3-23-23-128-100,128000
3-23-23-129-111,129101
3-23-23-161-100,161100
3-23-23-209-111,209100
3-23-23-209-121,209100
3-23-23-209-171,209100
3-23-23-340-123,*** NO MAPPED
3-23-23-611-100,611100
3-23-23-811-100,811100
3-23-23-814-100,814100
3-23-23-815-100,815100
3-23-23-891-100,891100
3-23-23-901-100,901100
3-23-23-910-100,910100
3-23-23-911-100,900200
3-23-23-960-100,900900
3-24-24-116-100,116000
3-24-24-128-100,128000
3-24-24-129-111,129101
3-24-24-129-121,129101
3-24-24-129-185,129101
3-24-24-161-100,161102
3-24-24-206-100,206100
3-24-24-209-100,209100
3-24-24-209-111,209102
3-24-24-209-165,209100
3-24-24-232-100,232100
3-24-24-340-124,*** NO MAPPED
3-24-24-410-100,410000
3-24-24-420-100,420100
3-24-24-421-100,421000
3-24-24-611-100,611100
3-24-24-815-100,815100
3-24-24-816-100,815100
3-24-24-830-100,830000
3-24-24-891-100,891100
3-24-24-893-100,891300
3-24-24-901-100,901100
3-24-24-910-100,900200
3-24-24-911-100,900200
3-24-24-960-100,900900
3-30-30-340-130,*** NO MAPPED
3-30-30-871-112,871100
3-30-31-101-100,101103
3-30-31-121-100,121000
3-30-31-128-100,128000
3-30-31-129-100,129101
3-30-31-129-111,129101
3-30-31-129-121,129101
3-30-31-129-165,129101
3-30-31-129-171,129101
3-30-31-131-100,131105
3-30-31-131-112,131105
3-30-31-131-114,131105
3-30-31-131-116,131105
3-30-31-132-100,131101
3-30-31-133-100,133100
3-30-31-161-100,161103
3-30-31-199-105,199105
3-30-31-201-100,201100
3-30-31-204-100,204100
3-30-31-209-100,209100
3-30-31-209-111,209102
3-30-31-209-121,209102
3-30-31-209-124,209100
3-30-31-209-131,209100
3-30-31-209-147,209100
3-30-31-209-161,209100
3-30-31-209-165,209100
3-30-31-209-171,209100
3-30-31-209-185,209100
3-30-31-211-100,211100
3-30-31-244-131,244100
3-30-31-250-100,201100
3-30-31-299-102,299102
3-30-31-299-105,299105
3-30-31-440-100,440100
3-30-31-441-100,441100
3-30-31-442-100,442100
3-30-31-443-100,443100
3-30-31-444-100,444100
3-30-31-445-100,445100
3-30-31-446-100,446100
3-30-31-450-100,450100
3-30-31-470-117,440100
3-30-31-490-100,490100
3-30-31-621-100,610100
3-30-31-630-100,630100
3-30-31-630-101,630100
3-30-31-631-100,630100
3-30-31-631-101,631101
3-30-31-631-102,631102
3-30-31-633-100,633100
3-30-31-634-100,634100
3-30-31-635-100,635100
3-30-31-636-100,636100
3-30-31-650-100,650100
3-30-31-690-100,690100
3-30-31-690-105,690100
3-30-31-750-100,750100
3-30-31-754-100,754000
3-30-31-754-111,754000
3-30-31-755-100,755100
3-30-31-756-100,756100
3-30-31-757-100,757100
3-30-31-770-100,770100
3-30-31-811-100,811100
3-30-31-811-110,811100
3-30-31-812-101,812101
3-30-31-813-100,813000
3-30-31-814-100,814100
3-30-31-815-100,815100
3-30-31-817-100,817000
3-30-31-820-100,820000
3-30-31-820-101,820101
3-30-31-821-100,821100
3-30-31-821-101,821101
3-30-31-822-100,822000
3-30-31-823-100,823000
3-30-31-823-104,823000
3-30-31-825-100,825000
3-30-31-830-100,830000
3-30-31-831-100,831000
3-30-31-832-100,832000
3-30-31-832-112,832000
3-30-31-833-100,833000
3-30-31-833-112,833000
3-30-31-833-116,833000
3-30-31-840-100,840000
3-30-31-842-100,842000
3-30-31-843-116,843000
3-30-31-844-100,844000
3-30-31-845-100,845000
3-30-31-860-100,860000
3-30-31-865-100,866000
3-30-31-865-101,867000
3-30-31-866-100,868000
3-30-31-867-100,869000
3-30-31-870-100,870000
3-30-31-870-112,870000
3-30-31-870-114,870000
3-30-31-871-100,871100
3-30-31-871-112,871100
3-30-31-871-114,871100
3-30-31-871-116,871100
3-30-31-872-100,872100
3-30-31-872-112,872100
3-30-31-872-114,872100
3-30-31-872-116,872100
3-30-31-873-100,873100
3-30-31-873-112,873100
3-30-31-873-114,873100
3-30-31-873-116,873100
3-30-31-890-100,890000
3-30-31-891-100,891100
3-30-31-893-100,891300
3-30-31-901-100,901100
3-30-31-902-100,465100
3-30-31-910-100,900200
3-30-31-911-100,900200
3-30-31-960-100,900900
3-30-32-131-100,131105
3-30-32-440-100,440100
3-30-32-441-100,441100
3-30-32-442-100,442100
3-30-32-443-100,443100
3-30-32-444-100,444100
3-30-32-630-100,630100
3-30-32-631-100,630100
3-30-32-631-102,631102
3-30-32-633-100,633100
3-30-32-634-100,634100
3-30-32-636-100,636100
3-30-32-637-100,637100
3-30-33-440-100,440100
3-30-33-441-100,441100
3-30-33-442-100,442100
3-30-33-630-100,630100
3-34-34-133-100,133100
3-34-34-201-100,201100
3-34-34-209-111,209100
3-34-34-209-131,209102
3-34-34-244-134,244100
3-34-34-340-134,*** NO MAPPED
3-34-34-440-100,440100
3-34-34-441-100,441100
3-34-34-442-100,442100
3-34-34-443-100,443100
3-34-34-630-100,630100
3-34-34-631-100,630100
3-34-34-633-100,633100
3-34-34-635-100,635100
3-40-40-129-131,129101
3-40-40-209-131,209102
3-40-40-340-140,*** NO MAPPED
3-40-40-440-100,440100
3-40-41-440-100,440100
3-40-41-441-100,441100
3-40-41-442-100,442100
3-40-41-443-100,443100
3-40-41-630-100,630100
3-40-41-631-100,630100
3-40-41-633-100,633100
3-40-41-636-100,636100
3-40-42-440-100,440100
3-40-42-441-100,441100
3-40-42-442-100,442100
3-40-42-443-100,443100
3-40-42-630-100,630100
3-40-42-636-100,636100
3-40-43-440-100,440100
3-40-43-441-100,441100
3-40-43-442-100,442100
3-40-43-443-100,443100
3-40-43-630-100,630100
3-40-44-440-100,440100
3-40-44-441-100,441100
3-40-44-442-100,442100
3-40-44-443-100,443100
3-40-44-630-100,630100
3-40-45-440-100,440100
3-40-45-441-100,441100
3-40-45-442-100,442100
3-40-45-443-100,443100
3-40-45-630-100,630100
3-40-46-440-100,440100
3-40-46-441-100,441100
3-40-46-442-100,442100
3-40-46-443-100,443100
3-40-46-630-100,630100
3-40-47-161-100,161104
3-40-47-440-100,440100
3-40-47-441-100,441100
3-40-47-442-100,442100
3-40-47-443-100,443100
3-40-47-630-100,630100
3-40-47-901-100,901100
3-40-47-910-100,900200
3-40-47-960-100,900900
3-50-50-209-131,209102
3-50-50-340-150,*** NO MAPPED
3-50-51-129-100,129101
3-50-51-440-100,440100
3-50-51-441-100,441100
3-50-51-442-100,442100
3-50-51-443-100,443100
3-50-51-632-100,632100
3-50-51-890-100,890000
3-50-52-214-101,214100
3-50-52-440-100,440100
3-50-52-632-100,632100
3-50-53-440-100,440100
3-50-53-441-100,441100
3-50-53-442-100,442100
3-50-53-443-100,443100
3-50-53-630-100,630100
3-50-54-440-100,440100
3-50-54-441-100,441100
3-50-54-442-100,442100
3-50-54-443-100,443100
3-50-54-630-100,630100
3-50-56-440-100,440100
3-50-56-442-100,442100
3-50-56-630-100,630100
3-50-57-440-100,440100
3-50-57-442-100,442100
3-50-57-630-100,630100
3-50-58-440-100,440100
3-50-58-630-100,630100
3-60-61-131-100,131105
3-60-61-209-111,209100
3-60-61-209-131,209100
3-60-61-340-161,*** NO MAPPED
3-60-61-450-100,450100
3-60-61-650-100,650100
3-60-61-754-111,754000
3-60-61-755-100,755100
3-60-61-813-100,813000
3-60-61-814-100,814100
3-60-61-815-100,815100
3-60-61-822-100,822000
3-60-61-823-100,823000
3-60-61-831-100,831000
3-60-61-833-100,833000
3-60-61-833-112,833000
3-60-61-840-100,840000
3-60-61-842-100,842000
3-60-61-842-112,842000
3-60-61-845-100,845000
3-60-61-865-100,866000
3-60-61-866-100,868000
3-60-61-870-100,870000
3-60-61-871-100,871100
3-60-61-871-112,871100
3-60-61-871-116,871100
3-60-61-872-100,872100
3-60-61-872-112,872100
3-60-61-872-116,872100
3-60-61-873-100,873100
3-60-61-873-112,873100
3-60-61-873-116,873100
3-60-61-890-100,890000
3-60-61-893-102,*** NO MAPPED
3-65-65-128-100,128000
3-65-65-129-124,129101
3-65-65-131-100,131105
3-65-65-161-100,161100
3-65-65-201-100,201100
3-65-65-209-111,209102
3-65-65-209-121,209100
3-65-65-209-122,209100
3-65-65-209-131,209100
3-65-65-221-100,221100
3-65-65-222-100,222100
3-65-65-223-100,223100
3-65-65-244-165,244100
3-65-65-340-165,*** NO MAPPED
3-65-65-440-100,440100
3-65-65-441-100,441100
3-65-65-442-100,442100
3-65-65-443-100,443100
3-65-65-630-100,630100
3-65-65-630-101,630100
3-65-65-631-100,630100
3-65-65-631-101,631101
3-65-65-633-100,633100
3-65-65-635-100,635100
3-65-65-636-100,636100
3-65-65-638-100,638100
3-65-65-810-100,810000
3-65-65-811-110,811100
3-65-65-823-100,823000
3-65-65-842-100,842000
3-65-65-890-100,890000
3-65-65-901-100,901100
3-65-65-902-100,465100
3-65-65-910-100,900200
3-65-65-911-100,900200
3-65-65-960-100,900900
3-99-11-101-100,101100
3-99-11-201-100,201100
3-99-11-209-111,209100
3-99-11-421-100,421100
3-99-11-490-100,490100
3-99-11-710-100,710100
3-99-11-720-100,720100
3-99-11-730-100,730100
3-99-11-740-100,740100
3-99-11-811-100,811100
3-99-11-813-100,813000
3-99-11-814-100,814100
3-99-11-815-100,815100
3-99-11-821-100,821100
3-99-11-823-100,823000
3-99-11-824-100,824000
3-99-11-825-100,825000
3-99-11-827-100,827000
3-99-11-831-100,831000
3-99-11-865-100,866000
3-99-11-871-100,871100
3-99-11-872-100,872100
3-99-11-873-100,873100
4-10-11-129-100,129101
4-85-85-101-100,101107
4-85-85-111-100,111001
4-85-85-115-100,115000
4-85-85-116-100,116000
4-85-85-128-100,128000
4-85-85-129-111,129101
4-85-85-129-121,129101
4-85-85-129-131,129101
4-85-85-129-171,129101
4-85-85-129-181,129101
4-85-85-140-100,140100
4-85-85-141-100,141100
4-85-85-141-101,141101
4-85-85-141-103,141103
4-85-85-141-108,141108
4-85-85-141-109,141109
4-85-85-142-109,142109
4-85-85-143-100,143111
4-85-85-143-101,143101
4-85-85-143-102,143102
4-85-85-143-103,143103
4-85-85-143-104,143104
4-85-85-143-105,143112
4-85-85-143-106,143106
4-85-85-143-109,143109
4-85-85-143-110,143110
4-85-85-144-108,144101
4-85-85-144-109,144102
4-85-85-145-100,145100
4-85-85-145-101,145101
4-85-85-146-100,146100
4-85-85-146-101,146101
4-85-85-146-103,146103
4-85-85-146-104,146103
4-85-85-147-100,147101
4-85-85-147-101,147101
4-85-85-148-107,148107
4-85-85-148-109,148109
4-85-85-151-100,151101
4-85-85-151-101,151101
4-85-85-151-106,151106
4-85-85-152-100,152100
4-85-85-152-101,152100
4-85-85-152-106,152106
4-85-85-153-100,153100
4-85-85-153-101,153100
4-85-85-153-106,153106
4-85-85-154-100,154100
4-85-85-154-106,154106
4-85-85-155-100,155100
4-85-85-201-100,201100
4-85-85-201-101,201101
4-85-85-205-100,205100
4-85-85-206-100,206100
4-85-85-209-100,209100
4-85-85-209-111,209100
4-85-85-209-124,209100
4-85-85-209-171,209101
4-85-85-209-181,209100
4-85-85-211-100,211100
4-85-85-211-171,211100
4-85-85-212-100,212100
4-85-85-212-101,212101
4-85-85-213-100,213100
4-85-85-221-100,221100
4-85-85-250-100,201100
4-85-85-340-100,*** NO MAPPED
4-85-85-415-100,415000
4-85-85-416-100,416000
4-85-85-422-100,422000
4-85-85-460-100,460100
4-85-85-460-117,460100
4-85-85-620-100,620100
4-85-85-620-101,620101
4-85-85-621-100,621102
4-85-85-622-100,622100
4-85-85-812-100,812100
4-85-85-833-100,833000
4-85-85-901-100,901100
4-85-85-902-100,465100
4-85-85-903-100,*** NO MAPPED
4-85-85-910-100,900200
4-85-85-921-101,900500
4-85-85-960-100,900900
4-85-85-962-117,962117
4-85-85-962-171,901000
4-85-85-990-100,990100
